feature,LogReg,RF,GB,avg_rank
Hemoglobin,0.7119142324974564,1.0,1.0,1.6666666666666667
ECOG status,1.0,0.6915362292589025,0.7508430908500802,1.6666666666666667
Number of mets (cat),0.7491569052299275,0.5265822273077893,0.6762147299607512,2.6666666666666665
ESR,0.410399194604008,0.4264766394066797,0.3731111123131456,6.333333333333333
Intermittent therapy,0.45147280414861485,0.14410228971854924,0.26020261688099067,7.0
Differentiation,0.35559801312776856,0.47913719763487567,0.21528840778731356,8.0
Operation type,0.4161211515336193,0.15182862997557806,0.1612810086347372,9.333333333333334
Platelets,0.1372249439795482,0.12630520183703958,0.3197857052618258,10.666666666666666
Synchronous mets,0.6397393079357357,0.017566321677235187,0.22711246851264846,11.666666666666666
LDH,0.11547140726967743,0.0908792166582788,0.2743186728099981,11.666666666666666
# organs with mets,0.4974096502282986,0.05081633328683485,0.09641750393526581,12.0
Bone mets,0.4485100316959624,0.06948319735475218,0.05634818169505733,12.666666666666666
Histological variant,0.20476237639461176,0.06454140583783158,0.14640704361792214,13.333333333333334
Nexavar 1st line,0.23508306621735237,0.06381610497360513,0.13311876639060458,13.666666666666666
Lymph node mets,0.24361887391785805,0.05195081574791241,0.07674642014954326,15.0
