variant,model,n_features,auc,f1_macro,brier,delta_auc_vs_imdc
baseline (orig),Logistic Regression,30,0.8824140168721609,0.7676075268817204,0.13935891410664925,0.15256327060350416
baseline (orig),Random Forest,30,0.8586632057105776,0.7780788511041865,0.146180215348371,0.12881245944192088
baseline (orig),Gradient Boosting,30,0.8475016223231668,0.7399913618392637,0.16510076166179521,0.11765087605451008
baseline (orig),SVM (RBF),30,0.8730694354315379,0.7815126050420168,0.14191271899564709,0.14321868916288116
baseline (orig),XGBoost,30,0.8399740428293316,0.7726495726495727,0.16433529555797577,0.11012329656067488
baseline (orig),LightGBM,30,0.8542504866969499,0.7572362278244631,0.16135684871352393,0.12439974042829316
minimal (no intermittent),Logistic Regression,29,0.8853990914990266,0.7780788511041865,0.13568029763197192,0.15554834523036987
minimal (no intermittent),Random Forest,29,0.862946138870863,0.7585960616263646,0.144758158158801,0.13309539260220626
minimal (no intermittent),Gradient Boosting,29,0.8643737832576249,0.7658584858980703,0.15513928989055756,0.13452303698896817
minimal (no intermittent),SVM (RBF),29,0.8768332251784556,0.7624100418410041,0.13939278181678574,0.14698247890979887
minimal (no intermittent),XGBoost,29,0.853471771576898,0.7520847868699957,0.1568826586008072,0.12362102530824126
minimal (no intermittent),LightGBM,29,0.8642439974042829,0.7502259414225942,0.1580116970848404,0.13439325113562617
strict (no interm/surgery/RT),Logistic Regression,27,0.8866969500324464,0.7815126050420168,0.13590936497775463,0.15684620376378966
strict (no interm/surgery/RT),Random Forest,27,0.863595068137573,0.7534209456713182,0.1446411378063579,0.13374432186891627
strict (no interm/surgery/RT),Gradient Boosting,27,0.8621674237508111,0.7590042372881356,0.1579815984704392,0.13231667748215437
strict (no interm/surgery/RT),SVM (RBF),27,0.8761842959117456,0.772830010457781,0.13943463472976125,0.14633354964308887
strict (no interm/surgery/RT),XGBoost,27,0.8532121998702141,0.753851228764638,0.15728291869163513,0.12336145360155737
strict (no interm/surgery/RT),LightGBM,27,0.8519143413367942,0.7329598506069095,0.16690195816594203,0.12206359506813746
